조회일자,순자산,입금고,출금고,손익,수익률,자산,부채,예수금잔고,주식/파생/채권 등,위탁순자산,상품잔고,금융상품,누적손익,누적수익률,Date
2025.01.01,15892620.0,0.0,0.0,0.0,0.0,15892620.0,0.0,0.0,0.0,0.0,1472366.0,0.0,0.0,0.0,2025-01-01
2025.01.31,15151059.0,0.0,300000.0,-441561.0,-2.78,15151059.0,0.0,0.0,0.0,2461638.0,6760958.0,0.0,-441561.0,-2.78,2025-01-31
2025.02.28,11959067.0,1400000.0,3600000.0,-991992.0,-5.99,11959067.0,0.0,0.0,0.0,54.0,54.0,0.0,-1433553.0,-8.29,2025-02-28
2025.03.31,12048504.0,332873.0,0.0,-243436.0,-1.98,12048504.0,0.0,0.0,0.0,333124.0,333094.0,0.0,-1676989.0,-9.51,2025-03-31
2025.04.30,12982789.0,1400000.0,0.0,-465715.0,-3.46,12982789.0,0.0,1488.0,0.0,395784.0,394160.0,0.0,-2142704.0,-11.26,2025-04-30
2025.05.31,21892940.0,8996194.0,0.0,-86043.0,-0.39,21892940.0,0.0,0.0,0.0,4594642.0,2550097.0,0.0,-2228747.0,-7.95,2025-05-31
2025.06.30,24214026.0,1400000.0,150000.0,1071086.0,4.6,24214026.0,0.0,0.0,0.0,4704912.0,1476295.0,0.0,-1157661.0,-3.93,2025-06-30
2025.07.31,24177016.0,0.0,3264714.0,3227704.0,13.33,24177016.0,0.0,3347.0,0.0,7562.0,4214.0,0.0,2070043.0,7.04,2025-07-31
2025.08.31,29644914.0,1900000.0,0.0,3567898.0,13.68,29644914.0,0.0,0.0,0.0,208510.0,208488.0,0.0,5637941.0,18.0,2025-08-31
2025.09.30,27231298.0,1000000.0,1673105.0,-1740511.0,-5.68,27231298.0,0.0,0.0,0.0,0.0,0.0,0.0,3897430.0,12.06,2025-09-30
2025.10.31,27889015.0,1400000.0,0.0,-742283.0,-2.59,27889015.0,0.0,0.0,0.0,190880.0,190850.0,0.0,3155147.0,9.36,2025-10-31
2025.11.30,30811386.0,0.0,0.0,2922371.0,10.48,30811386.0,0.0,7249.0,0.0,28543.0,679016.0,0.0,6077518.0,18.02,2025-11-30
2025.12.31,30661912.0,1300000.0,0.0,-1449474.0,-4.51,30661912.0,0.0,0.0,0.0,377354.0,4523664.0,0.0,4628044.0,13.21,2025-12-31
2026.01.31,32927618.0,0.0,377572.0,2643278.0,8.62,32927618.0,0.0,0.0,0.0,0.0,2827343.0,0.0,7271322.0,20.76,2026-01-31
2026.02.24,38095335.0,1400000.0,144986.0,3912703.0,11.4,38095335.0,0.0,2380.0,0.0,1377365.0,808532.0,0.0,11184025.0,30.71,2026-02-24
